Group Starts,Sum - Volume (Lynden/Aldergrove North Trucks),Sum - Volume (Lynden/Aldergrove South Trucks),Sum - Volume (Pacific Highway North Trucks),Sum - Volume (Pacific Highway South Trucks),Sum - Volume (Sumas/Huntingdon North Trucks)
2018-03-29 00:00:00,188.0,288.0,1182.0,1663.0,501.0
2018-03-30 00:00:00,129.0,142.0,1006.0,1582.0,232.0
2018-03-31 00:00:00,56.0,102.0,666.0,1164.0,120.0
2018-04-01 00:00:00,34.0,54.0,446.0,1012.0,64.0
2018-04-02 00:00:00,149.0,182.0,981.0,1543.0,385.0
2018-04-03 00:00:00,205.0,202.0,1168.0,1799.0,451.0
2018-04-04 00:00:00,160.0,181.0,1211.0,1807.0,419.0
2018-04-05 00:00:00,191.0,191.0,1241.0,1705.0,463.0
2018-04-06 00:00:00,164.0,192.0,1291.0,1699.0,504.0
2018-04-07 00:00:00,65.0,69.0,702.0,1246.0,106.0
2018-04-08 00:00:00,34.0,37.0,417.0,1164.0,65.0
2018-04-09 00:00:00,186.0,2.0,1029.0,1774.0,411.0
2018-04-10 00:00:00,199.0,177.0,1088.0,1823.0,464.0
2018-04-11 00:00:00,186.0,213.0,1090.0,1703.0,438.0
2018-04-12 00:00:00,35.0,210.0,348.0,1750.0,68.0
2018-04-13 00:00:00,142.0,135.0,1234.0,1631.0,478.0
2018-04-14 00:00:00,43.0,62.0,673.0,1309.0,130.0
2018-04-15 00:00:00,41.0,53.0,505.0,1187.0,51.0
2018-04-16 00:00:00,165.0,146.0,1020.0,993.0,446.0
2018-04-17 00:00:00,173.0,191.0,1103.0,1373.0,457.0
2018-04-18 00:00:00,177.0,178.0,1193.0,1761.0,423.0
2018-04-19 00:00:00,209.0,184.0,1273.0,1765.0,474.0
2018-04-20 00:00:00,208.0,191.0,1250.0,1651.0,459.0
2018-04-21 00:00:00,54.0,61.0,546.0,1090.0,97.0
2018-04-22 00:00:00,46.0,108.0,457.0,1314.0,63.0
2018-04-23 00:00:00,181.0,213.0,885.0,1893.0,436.0
2018-04-24 00:00:00,171.0,174.0,1105.0,1868.0,463.0
2018-04-25 00:00:00,208.0,205.0,1272.0,1759.0,482.0
2018-04-26 00:00:00,199.0,190.0,1249.0,1813.0,484.0
